boite,ligne,colonne,concentration,date_ponte,data_comptage,entree1,entree2,nb_oeufs,compteur,test
P8,2,2,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P8,2,3,"1,05",16/08/19,19/08/19,8,8,8,JL,OK
P8,2,4,"1,2",16/08/19,19/08/19,1,1,1,JL,OK
P8,3,1,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P8,3,2,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P8,3,3,"0,9",16/08/19,19/08/19,21,21,21,JL,OK
P8,3,4,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P10,1,1,"0,6",16/08/19,20/08/19,0,0,0,JL,OK
P10,1,2,"1,05",16/08/19,20/08/19,1,1,1,JL,OK
P10,1,3,"0,15",16/08/19,20/08/19,5,5,5,JL,OK
P10,1,4,"1,65",16/08/19,20/08/19,4,4,4,JL,OK
P10,2,1,"0,9",16/08/19,20/08/19,5,5,5,JL,OK
P10,2,2,"0,3",16/08/19,20/08/19,4,4,4,JL,OK
P10,2,3,"1,2",16/08/19,20/08/19,0,0,0,JL,OK
P10,2,4,0,16/08/19,20/08/19,7,7,7,JL,OK
P10,3,1,"0,45",16/08/19,20/08/19,0,0,0,JL,OK
P10,3,2,"1,5",16/08/19,20/08/19,1,1,1,JL,OK
P10,3,3,"1,35",16/08/19,20/08/19,7,7,7,JL,OK
P10,3,4,"0,75",16/08/19,20/08/19,42,42,42,JL,OK
P11,1,1,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P11,1,2,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P11,1,3,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P11,1,4,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P11,2,1,"1,2",16/08/19,19/08/19,14,14,14,JL,OK
P11,2,2,"0,15",16/08/19,19/08/19,3,3,3,JL,OK
P11,2,3,"1,35",16/08/19,19/08/19,2,2,2,JL,OK
P11,2,4,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P11,3,1,"1,5",16/08/19,19/08/19,10,10,10,JL,OK
P11,3,2,"0,45",16/08/19,19/08/19,4,4,4,JL,OK
P11,3,3,0,16/08/19,19/08/19,5,5,5,JL,OK
P11,3,4,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P12,1,1,"0,9",16/08/19,20/08/19,33,33,33,JL,OK
P12,1,2,"0,15",16/08/19,20/08/19,6,6,6,JL,OK
P12,1,3,"1,65",16/08/19,20/08/19,8,8,8,JL,OK
P12,1,4,"0,75",16/08/19,20/08/19,6,6,6,JL,OK
P12,2,1,"0,6",16/08/19,20/08/19,11,11,11,JL,OK
P12,2,2,"1,05",16/08/19,20/08/19,7,7,7,JL,OK
P12,2,3,"1,2",16/08/19,20/08/19,3,3,3,JL,OK
P12,2,4,"0,3",16/08/19,20/08/19,9,9,9,JL,OK
P12,3,1,0,16/08/19,20/08/19,3,3,3,JL,OK
P12,3,2,"0,45",16/08/19,20/08/19,2,2,2,JL,OK
P12,3,3,"1,5",16/08/19,20/08/19,0,0,0,JL,OK
P12,3,4,"1,35",16/08/19,20/08/19,10,10,10,JL,OK
P13,1,1,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P13,1,2,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P13,1,3,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P13,1,4,0,16/08/19,19/08/19,26,26,26,JL,OK
P13,2,1,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P13,2,2,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P13,2,3,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P13,2,4,"1,65",16/08/19,19/08/19,1,1,1,JL,OK
P13,3,1,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P13,3,2,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P13,3,3,"1,5",16/08/19,19/08/19,14,14,14,JL,OK
P13,3,4,"1,35",16/08/19,19/08/19,27,27,27,JL,OK
P14,1,1,0,16/08/19,19/08/19,0,0,0,JL,OK
P14,1,2,"0,6",16/08/19,19/08/19,2,2,2,JL,OK
P14,1,3,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P14,1,4,"1,65",16/08/19,19/08/19,0,0,0,JL,OK
P14,2,1,"0,75",16/08/19,19/08/19,1,1,1,JL,OK
P14,2,2,"0,45",16/08/19,19/08/19,3,3,3,JL,OK
P14,2,3,"1,35",16/08/19,19/08/19,12,12,12,JL,OK
P14,2,4,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P14,3,1,"1,2",16/08/19,19/08/19,2,2,2,JL,OK
P14,3,2,"1,5",16/08/19,19/08/19,5,5,5,JL,OK
P14,3,3,"0,15",16/08/19,19/08/19,10,10,10,JL,OK
P14,3,4,"0,9",16/08/19,19/08/19,23,23,23,JL,OK
P15,1,1,"0,9",16/08/19,20/08/19,7,7,7,JL,OK
P15,1,2,"0,45",16/08/19,20/08/19,1,1,1,JL,OK
P15,1,3,"1,2",16/08/19,20/08/19,5,5,5,JL,OK
